path,condition,age_group,source,strata
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-hand-visualdx-4.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Eczema/Infant/DermAtlas/celllulitis-infant-face-dermatlas-3.jpg,Eczema,Infant,DermAtlas,Eczema||Infant
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-webMD.jpg,Cellulitis,Adult,cellulitis-adult-leg-webMD.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-pcds-1.jpg,Cellulitis,Adult,cellulitis-adult-leg-pcds-1.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-foot-visualdx-6.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Child/Visualdx/scabies-child-foot-visualdx-5.jpg,Scabies,Child,Visualdx,Scabies||Child
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-ear-face-neck-visualdx.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-23.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-arm-visualdx-5.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-eye-visualdx-8.jpg,Cellulitis,Adult,cellulitis-adult-eye-visualdx-8.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-hand-visualdx-26.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-skin-visualdx-5.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-scalp-visualdx-4.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-hand-foot-visualdx.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-scalp-dermnz-1.jpg,Cellulitis,Adult,cellulitis-adult-scalp-dermnz-1.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Child/Visualdx/scabies-child-foot-visualdx-3.jpg,Scabies,Child,Visualdx,Scabies||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-abdomen-dermnz-1.jpg,Cellulitis,Adult,cellulitis-adult-abdomen-dermnz-1.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Infant/Visualdx/ringworm-infant-back-visualdx-1.jpg,Ringworm,Infant,Visualdx,Ringworm||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-feet-visualdx-9 (SEVERE).jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-child-foot-gsa-2.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-arm-visualdx-15.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-arm-visualdx-7.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-feet-visualdx-16.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-scalp-webMD-2.jpg,Cellulitis,Adult,cellulitis-adult-scalp-webMD-2.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-neck-visualdx-16.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-adult-hand-gsa-11.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Scabies/Adult/DermNetNZ/scabies-adult-skin-dermnet-11.jpg,Scabies,Adult,DermNetNZ,Scabies||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-feet-visualdx-16.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-scalp-visualdx-9.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-face-visualdx-12.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-back-visualdx-9.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Child/Visualdx/scabies-child-wrist-visualdx-2.jpg,Scabies,Child,Visualdx,Scabies||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-skin-visualdx-5.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-thigh-visualdx-1.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Infant/Visualdx/ringworm-infant-scalp-visualdx-4.jpg,Ringworm,Infant,Visualdx,Ringworm||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-scalp-visualdx-4.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-skin-visualdx-7.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-leg-flickr-10.jpg,Cellulitis,Adult,celllulitis-adult-leg-flickr-10.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-face-visualdx-8.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-cheek-visualdx-15.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-ankle-visualdx-6.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-visualdx-1.jpg,Cellulitis,Adult,cellulitis-adult-leg-visualdx-1.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-arm-visualdx-13.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-face-visualdx-10.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-visualdx-3.jpg,Cellulitis,Adult,cellulitis-adult-leg-visualdx-3.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-14.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-back-visualdx-7.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Infant/Visualdx/cellulitis-infant-foot-visualdx.jpg,Cellulitis,Infant,Visualdx,Cellulitis||Infant
Derma AI Images/Cellulitis/Adult/cellulitis-adult-skin-dermnz-11.jpg,Cellulitis,Adult,cellulitis-adult-skin-dermnz-11.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Child/Visualdx/scabies-child-hand-visualdx-1.jpg,Scabies,Child,Visualdx,Scabies||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-eye-visualdx-2.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-skin-visualdx-3.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-feet-visualdx-15.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-elbow-visualdx-1.jpg,Cellulitis,Adult,cellulitis-adult-elbow-visualdx-1.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-face-visualdx-6.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Scabies/Adult/DermNetNZ/scabies-adult-back-dermnet-7.jpg,Scabies,Adult,DermNetNZ,Scabies||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-back-visualdx-3.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-22.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-27.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-back-visualdx-1.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-arm-visualdx-4.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-back-visualdx-9.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-finger-visualdx.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-face-visualdx-4.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-feet-visualdx-6.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-hand-visualdx-14.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-neck-visualdx-6.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-skin-dermnz-9.jpg,Cellulitis,Adult,cellulitis-adult-skin-dermnz-9.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-arm-visualdx-6.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-foot-visualdx-24.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-4.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-arm-visualdx-4.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-forehead-visualdx-2.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-hand-visualdx-5.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-leg-visualdx-4.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-chest-leg-visualdx.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-ankle-visualdx-2.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-ear-neck-visualdx.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-eye-visualdx-2.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-eye-visualdx-7.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-flickr-19.jpg,Cellulitis,Adult,cellulitis-adult-leg-flickr-19.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-eye-visualdx-15.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-arm-visualdx-2.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-eye-visualdx-3.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-calf-medscape.jpg,Cellulitis,Adult,cellulitis-adult-calf-medscape.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-skin-visualdx-8.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-19.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-back-visualdx-2.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-scalp-visualdx-28.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-ear-dermnz.jpg,Cellulitis,Adult,cellulitis-adult-ear-dermnz.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-shoulder-dermatlas.jpg,Cellulitis,Adult,cellulitis-adult-shoulder-dermatlas.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Child/Visualdx/scabies-child-hand-visualdx-5.jpg,Scabies,Child,Visualdx,Scabies||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-arm-visualdx-14.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-neck-visualdx-8.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-36.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-face-visualdx-15.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-knee-visualdx-1.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-knee-visualdx-4.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-eye-visualdx-4.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-arms-chest-visualdx-1.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-eye-dermnz.jpg,Cellulitis,Adult,cellulitis-adult-eye-dermnz.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-46.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-face-visualdx-14.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Adult/celllulitis-adult-leg-flickr-2.jpg,Cellulitis,Adult,celllulitis-adult-leg-flickr-2.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-thigh-webMD-3.jpg,Cellulitis,Adult,cellulitis-adult-thigh-webMD-3.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-mouth-visualdx-12.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Infant/Visualdx/ringworm-infant-scalp-visualdx-7.jpg,Ringworm,Infant,Visualdx,Ringworm||Infant
Derma AI Images/Eczema/Child/Visualdx/eczema-child-eye-visualdx-5.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-19.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-scalp-visualdx-2.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-mouth-visualdx-2.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-leg-visualdx-9.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-hand-visualdx-4.jpg,Cellulitis,Adult,cellulitis-adult-hand-visualdx-4.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-hand-visualdx-2.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-feet-visualdx-13.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-pcds-3.jpg,Cellulitis,Adult,cellulitis-adult-leg-pcds-3.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-arm-visualdx-4.jpg,Cellulitis,Adult,cellulitis-adult-arm-visualdx-4.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-forehead-visualdx-3.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-leg-visualdx-3.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-arm-visualdx-5.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-flickr-18.jpg,Cellulitis,Adult,cellulitis-adult-leg-flickr-18.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-foot-visualdx-1.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-eye-visualdx-3.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-fingers-visualdx-16.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-scalp-visualdx-20.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-arm-visualdx-11.jpg,Cellulitis,Adult,cellulitis-adult-arm-visualdx-11.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Infant/Visualdx/cellulitis-infant-forehead-visualdx.jpg,Cellulitis,Infant,Visualdx,Cellulitis||Infant
Derma AI Images/Cellulitis/Adult/cellulitis-adult-eye-visualdx-7.jpg,Cellulitis,Adult,cellulitis-adult-eye-visualdx-7.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-arm-visualdx-8.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-dermatlas-7.jpg,Cellulitis,Adult,cellulitis-adult-leg-dermatlas-7.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-hand-visualdx-9.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Eczema/Child/Visualdx/eczema-child-hand-visualdx-3.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-29.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-eye-visualdx-2.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-61.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-ankle-visualdx-20.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-face-visualdx-3.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Adult/DermNetNZ/scabies-adult-back-dermnet-6.jpg,Scabies,Adult,DermNetNZ,Scabies||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-face-visualdx-8.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-52.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-scalp-webMD-1.jpg,Cellulitis,Adult,cellulitis-adult-scalp-webMD-1.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-eye-visualdx-10.jpg,Cellulitis,Adult,cellulitis-adult-eye-visualdx-10.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-skin-visualdx-2.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-arm-pcds.jpg,Cellulitis,Adult,cellulitis-adult-arm-pcds.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-skin-visualdx-1.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-feet-visualdx-13.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-25.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Cellulitis/Child/Visualdx/cellulitis-child-eye-visualdx-6.jpg,Cellulitis,Child,Visualdx,Cellulitis||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-neck-visualdx-11.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-arm-visualdx-18.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-eye-visualdx-18.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-14.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-feet-visualdx-14.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-dermatlas-4.jpg,Cellulitis,Adult,cellulitis-adult-leg-dermatlas-4.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-eye-visualdx-8.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-eye-visualdx-1.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-3.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-skin-visualdx-31.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-back-visualdx-3.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-knee-webMD.jpg,Cellulitis,Adult,cellulitis-adult-knee-webMD.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-arm-visualdx-20.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-arm-visualdx-8.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-face-visualdx-15.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-3.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-3.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-back-visualdx-2.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-back-visualdx-6.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-3.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-leg-visualdx-6.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-eye-visualdx-6.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-11.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-forehead-visualdx-1.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-thigh-visualdx-4.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-cheek-visualdx-52.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-neck-visualdx-1.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-eye-visualdx-8.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-feet-visualdx-19.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-skin-visualdx-15.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-neck-visualdx-17.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-14.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-skin-visualdx-4 (SEVERE).jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Child/Visualdx/scabies-child-leg-visualdx-1.jpg,Scabies,Child,Visualdx,Scabies||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-chest-visualdx-2.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-ankle-visualdx-17.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-fingers-visualdx-6.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-scalp-visualdx-1.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-hand-visualdx-15.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-adult-ear-gsa-1.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Cellulitis/Child/Visualdx/cellulitis-child-hand-visualdx.jpg,Cellulitis,Child,Visualdx,Cellulitis||Child
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-hand-visualdx-8.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-chest-visualdx-3.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-wrist-visualdx-2.jpg,Scabies,Adult,Visualdx,Scabies||Adult
